FinInstrmId,Market Cap
500020,3487.34
500028,228.03
500032,3510.19
500038,12577.51
500042,21945.82
500048,19218.94
500049,299152.7
500059,38.96
500060,536.7
500068,2151.48
500074,422.07
500078,1267.56
500013,79.49
500084,24105.5
500002,118807.49
500040,24930.48
500089,561.75
500093,106674.64
500103,89663.13
500104,92294.3
500069,378.0
500085,22182.11
500108,3144.96
500110,11057.42
500083,187.76
500092,43486.76
500112,728918.34
500113,55694.29
500096,93402.52
500117,2266.79
500116,105534.83
500101,8977.07
500097,3299.09
500123,10617.15
500106,16966.1
500126,9738.86
500128,7381.12
500133,8073.33
500135,7534.22
500142,10.82
500143,58.2
500144,14529.24
500147,2349.16
500148,4325.11
500150,3193.23
500151,64.2
500153,680.3
500159,160.59
500160,160.76
500163,48674.37
500164,37741.49
500165,20171.84
500166,478.22
500168,2425.79
500170,48.24
500171,6029.48
500173,706.77
500174,17.63
500179,530.69
500180,1529978.81
500182,89129.0
500183,11910.71
500184,25349.29
500185,5268.93
500186,2277.23
500187,5253.43
500188,184773.2
500191,3012.29
500192,17.18
500109,25552.89
500193,869.56
500199,1480.31
500202,13.89
500125,20624.35
500120,393.85
500119,991.93
500210,13397.3
500206,39.03
500114,303165.66
500215,3371.04
500219,3703.09
500124,105135.69
500227,2613.17
500233,18847.49
500234,123.92
500235,3994.25
500238,17608.54
500239,44.23
500240,655.63
500241,17575.18
500243,4599.76
500245,9491.33
500246,40.32
500247,435094.19
500249,15154.47
500250,4204.22
500251,191701.95
500252,17638.7
500253,34040.65
500257,89221.78
500259,401.16
500260,27255.14
500262,46.92
500264,902.21
500265,9493.98
500266,16608.0
500267,327.0
500268,1177.16
500270,369.1
500271,54571.27
500277,12.5
500279,448.71
500280,1116.57
500282,163.44
500201,6339.21
500284,432.65
500214,8197.2
500213,399.33
500290,63752.35
500228,253838.12
500220,133.99
500295,175869.7
500300,189181.91
500302,30013.26
500288,3452.11
500307,4745.62
500285,5122.83
500292,4814.4
500298,600.33
500294,14377.69
500306,1772.52
500325,2009436.86
500304,1710.05
500327,357.67
500312,306581.4
500313,429.41
500335,10691.42
500336,6937.14
500317,1121.53
500319,189.23
500322,129.71
500314,2820.08
500342,133.85
500346,66.73
500350,796.25
500331,152442.03
500330,4640.19
500333,2105.16
500338,8116.62
500339,5065.37
500365,2281.37
500337,1021.46
500367,456.61
500343,254.82
500356,474.28
500355,6865.72
500354,155.87
500366,40.15
500357,12.01
500360,46.73
500368,63190.29
500400,129027.81
500370,39.46
500378,14385.74
500380,11490.48
500405,15296.22
500387,112169.09
500404,5423.7
500410,37155.59
500388,54.07
500402,2018.06
500389,232.8
500390,15342.16
500403,21848.1
500407,5579.51
500408,39715.52
500411,41406.81
500412,2959.02
500414,2264.81
500413,7749.52
500418,128.27
500420,116032.5
500440,150642.83
500421,70.29
500425,146161.75
500422,50.18
500458,70.54
500426,9.0
500439,1302.15
500429,1074.48
500449,250.22
500467,393.1
500450,31.32
500470,198549.16
500444,3644.25
500477,73662.79
500456,461.17
500483,49340.63
500488,72957.78
500490,157158.68
500493,59184.98
500459,42815.71
500495,37566.87
500510,480633.11
500520,389299.14
500530,113034.23
500540,11.63
500547,151412.57
500550,112021.27
500570,252178.75
